len data posf 51539
len connection type 11

conn type
--- mss: count  %

MOB
--- 1210: 1  0.000077
--- 1438: 1  0.000077
--- 1450: 1  0.000077
--- 1428: 1  0.000077
--- 1367: 1  0.000077
--- 1274: 1  0.000077
--- 1376: 1  0.000077
--- 1144: 1  0.000077
--- 1382: 1  0.000077
--- 1302: 1  0.000077
---  536: 1  0.000077
--- 1396: 1  0.000077
--- 1254: 1  0.000077
--- 1354: 1  0.000077
--- 1270: 1  0.000077
--- 1398: 1  0.000077
--- 1341: 1  0.000077
--- 1283: 1  0.000077
--- 1311: 1  0.000077
--- 1108: 1  0.000077
--- 1208: 1  0.000077
--- 1321: 1  0.000077
--- 1089: 1  0.000077
--- 1426: 1  0.000077
CDN
--- 1240: 230  0.422018
--- 1406: 107  0.196330
--- 1460: 59  0.108257
--- 1360: 43  0.078899
--- 1340: 25  0.045872
--- 1358: 17  0.031193
--- 1300: 17  0.031193
--- 1357: 11  0.020183
--- 1289: 9  0.016514
--- 1356: 6  0.011009
--- 1220: 5  0.009174
--- 1361: 5  0.009174
--- 1288: 4  0.007339
--- 1355: 2  0.003670
--- 1286: 2  0.003670
--- 1394: 1  0.001835
--- 1314: 1  0.001835
--- 1269: 1  0.001835
